# Program:featureCounts v1.6.4; Command:"featureCounts" "-a" "../assignment-data//db/gencode.v30.annotation.gtf" "-g" "gene_name" "-o" "../assignment-data//results/diff-res/counts.txt" "../assignment-data//results/diff-res/bwa/S1.bam" "../assignment-data//results/diff-res/bwa/S2.bam" "../assignment-data//results/diff-res/bwa/S3.bam" "../assignment-data//results/diff-res/bwa/S4.bam" "../assignment-data//results/diff-res/bwa/S5.bam" "../assignment-data//results/diff-res/hisat/S1.bam" "../assignment-data//results/diff-res/hisat/S2.bam" "../assignment-data//results/diff-res/hisat/S3.bam" "../assignment-data//results/diff-res/hisat/S4.bam" "../assignment-data//results/diff-res/hisat/S5.bam" 
Geneid	../assignment-data//results/diff-res/bwa/S1.bam	../assignment-data//results/diff-res/bwa/S2.bam	../assignment-data//results/diff-res/bwa/S3.bam	../assignment-data//results/diff-res/bwa/S4.bam	../assignment-data//results/diff-res/bwa/S5.bam	../assignment-data//results/diff-res/hisat/S1.bam
DDX11L1	0	0	0	0	0	0
WASH7P	13	12	9	20	17	0
MIR6859-1	0	2	0	1	0	0
MIR1302-2HG	0	0	0	0	0	0
MIR1302-2	0	0	0	0	0	0
FAM138A	0	0	0	0	0	0
OR4G4P	0	0	0	0	0	0
OR4G11P	0	0	0	0	0	0
OR4F5	0	0	0	0	0	0
AL627309.1	0	0	0	1	0	0
AL627309.3	0	0	0	0	0	0
CICP27	0	0	0	0	0	0
AL627309.6	0	0	0	0	2	0
AL627309.7	0	0	0	0	3	0
AL627309.2	0	0	0	0	0	0
AL627309.5	2	1	0	0	0	0
RNU6-1100P	0	0	0	0	0	0
AL627309.4	0	0	0	0	1	0
FO538757.1	0	0	4	0	0	0
WASH9P	16	14	17	21	22	0
MIR6859-2	0	0	0	0	0	0
AP006222.1	0	0	3	6	1	0
RPL23AP24	1	0	0	0	1	0
AL732372.1	0	0	0	0	0	0
AL732372.2	3	2	0	0	4	0
WBP1LP7	0	0	0	0	0	0
OR4F29	0	0	0	0	0	0
CICP7	0	0	0	0	0	0
AL732372.3	2	1	1	0	0	0
RF00026	0	0	0	0	1	0
AL669831.3	0	2	0	1	2	0
AC114498.1	0	0	0	0	0	0
MTND1P23	5	8	5	2	2	0
MTND2P28	288	317	235	268	248	0
MTCO1P12	186	179	220	202	194	0
AC114498.2	0	0	0	0	0	0
MTCO2P12	7	3	2	8	8	0
MTATP8P1	2	2	2	2	3	0
MTATP6P1	399	375	381	382	465	0
MTCO3P12	17	15	12	8	17	0
WBP1LP6	0	0	0	0	0	0
OR4F16	0	0	0	0	0	0
CICP3	0	0	0	0	0	0
AL669831.1	2	1	4	6	1	0
RNU6-1199P	0	0	0	0	0	0
AL669831.2	0	0	0	0	0	0
AL669831.5	1	2	5	4	4	0
AL669831.7	0	0	0	0	0	0
AL669831.4	0	2	0	0	0	0
FAM87B	0	0	0	0	0	0
LINC01128	10	16	5	9	18	0
LINC00115	0	4	2	2	0	0
FAM41C	1	0	0	0	0	0
TUBB8P11	0	0	0	0	0	0
AL669831.6	0	0	0	0	0	0
AL645608.6	0	0	0	0	0	0
AL645608.2	0	0	2	0	0	0
AL645608.4	0	0	0	0	0	0
